2018-06-30 23:37:55,114 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-06-30 23:37:55,115 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2018-06-30 23:37:55,124 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: direct://sampleInput
2018-06-30 23:37:55,124 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-06-30 23:37:55,143 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 2.162 seconds
2018-06-30 23:37:55,143 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.029 seconds
2018-06-30 23:37:57,895 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2018-06-30 23:37:57,897 | INFO | CamelTestSupport.java 244 | Testing: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:37:57,897 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2018-06-30 23:37:58,225 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-06-30 23:37:58,227 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2018-06-30 23:37:58,284 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-06-30 23:37:58,370 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-06-30 23:37:58,376 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://sampleInput
2018-06-30 23:37:58,377 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-06-30 23:37:58,380 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.153 seconds
2018-06-30 23:38:00,384 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2018-06-30 23:38:00,385 | INFO | CamelTestSupport.java 390 | Testing done: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:38:00,385 | INFO | CamelTestSupport.java 391 | Took: 2.004 seconds (2004 millis)
2018-06-30 23:38:00,385 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2018-06-30 23:38:00,386 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-06-30 23:38:00,387 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2018-06-30 23:38:00,392 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: direct://sampleInput
2018-06-30 23:38:00,392 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-06-30 23:38:00,405 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 2.181 seconds
2018-06-30 23:38:00,405 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.019 seconds
2018-06-30 23:41:21,290 | INFO | CamelTestSupport.java 243 | ********************************************************************************
2018-06-30 23:41:21,292 | INFO | CamelTestSupport.java 244 | Testing: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:41:21,293 | INFO | CamelTestSupport.java 245 | ********************************************************************************
2018-06-30 23:41:21,617 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2018-06-30 23:41:21,618 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2018-06-30 23:41:21,684 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2018-06-30 23:41:21,792 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-06-30 23:41:21,799 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://sampleInput
2018-06-30 23:41:21,799 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2018-06-30 23:41:21,802 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.183 seconds
2018-06-30 23:41:23,818 | INFO | CamelLogger.java 159 | Sample input with the body Hello Mumbai and headers {breadcrumbId=ID-8c8590783368-1530382281334-0-1}
2018-06-30 23:41:23,821 | INFO | CamelTestSupport.java 389 | ********************************************************************************
2018-06-30 23:41:23,821 | INFO | CamelTestSupport.java 390 | Testing done: SamepleDirectMockTest(com.learn.camel.mock.SampleMockRouteTest)
2018-06-30 23:41:23,821 | INFO | CamelTestSupport.java 391 | Took: 2.018 seconds (2018 millis)
2018-06-30 23:41:23,821 | INFO | CamelTestSupport.java 420 | ********************************************************************************
2018-06-30 23:41:23,823 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2018-06-30 23:41:23,824 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2018-06-30 23:41:23,828 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: direct://sampleInput
